trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
d006_set1_it_coh_list1,41,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,21,4,JpegStimuliFullRes/6_sleep_pluck tomatoes/1/coh_1.jpg,coh_1,JpegStimuliFullRes/6_sleep_pluck tomatoes/1/coh_2.jpg,coh_2,JpegStimuliFullRes/6_sleep_pluck tomatoes/1/it_target.jpg,it_target,JpegStimuliFullRes/6_sleep_pluck tomatoes/1/end_coh_it.jpg,end_coh_it,BetweenTrials/nepal_2025_051_img_7091.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\6_sleep_pluck tomatoes
d006_set1_tr_ic_list1,42,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,1,tr_ic,transitive_incohesive,incohesive,transitive,2,21,3,JpegStimuliFullRes/6_sleep_pluck tomatoes/1/ic_1.jpg,ic_1,JpegStimuliFullRes/6_sleep_pluck tomatoes/1/tr_target.jpg,tr_target,JpegStimuliFullRes/6_sleep_pluck tomatoes/1/end_ic_tr.jpg,end_ic_tr,,,BetweenTrials/nepal_2025_052_img_7094.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\6_sleep_pluck tomatoes
d006_set2_tr_coh_list1,43,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,2,tr_coh,transitive_cohesive,cohesive,transitive,1,22,3,JpegStimuliFullRes/6_sleep_pluck tomatoes/2/coh_1.jpg,coh_1,JpegStimuliFullRes/6_sleep_pluck tomatoes/2/coh_2.jpg,coh_2,JpegStimuliFullRes/6_sleep_pluck tomatoes/2/tr_target.jpg,tr_target,,,BetweenTrials/nepal_2025_053_img_6866.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\6_sleep_pluck tomatoes
d006_set2_it_ic_list1,44,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,22,3,JpegStimuliFullRes/6_sleep_pluck tomatoes/2/ic_1.jpg,ic_1,JpegStimuliFullRes/6_sleep_pluck tomatoes/2/it_target.jpg,it_target,JpegStimuliFullRes/6_sleep_pluck tomatoes/2/end_ic_it.jpg,end_ic_it,,,BetweenTrials/nepal_2025_054_img_6953.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\6_sleep_pluck tomatoes
d006_set3_tr_coh_list1,45,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,3,tr_coh,transitive_cohesive,cohesive,transitive,1,23,3,JpegStimuliFullRes/6_sleep_pluck tomatoes/3/coh_1.jpg,coh_1,JpegStimuliFullRes/6_sleep_pluck tomatoes/3/coh_2.jpg,coh_2,JpegStimuliFullRes/6_sleep_pluck tomatoes/3/tr_target.jpg,tr_target,,,BetweenTrials/nepal_2025_055_img_6743.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\6_sleep_pluck tomatoes
d006_set3_it_ic_list1,46,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,23,3,JpegStimuliFullRes/6_sleep_pluck tomatoes/3/ic_1.jpg,ic_1,JpegStimuliFullRes/6_sleep_pluck tomatoes/3/it_target.jpg,it_target,JpegStimuliFullRes/6_sleep_pluck tomatoes/3/end_ic_it.jpg,end_ic_it,,,BetweenTrials/nepal_2025_056_img_7017.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\6_sleep_pluck tomatoes
d006_set4_it_coh_list1,47,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,24,4,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/coh_1.jpg,coh_1,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/coh_2.jpg,coh_2,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/it_target.jpg,it_target,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/end_coh_it.jpg,end_coh_it,BetweenTrials/nepal_2025_057_img_6977.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\6_sleep_pluck tomatoes
d006_set4_tr_ic_list1,48,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,4,tr_ic,transitive_incohesive,incohesive,transitive,2,24,3,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/ic_1.jpg,ic_1,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/tr_target.jpg,tr_target,JpegStimuliFullRes/6_sleep_pluck tomatoes/4/end_ic_tr.jpg,end_ic_tr,,,BetweenTrials/nepal_2025_058_img_6824.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\6_sleep_pluck tomatoes
d007_set1_it_coh_list1,49,1,7,007_sit_make_fire,sit_make_fire,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,25,4,JpegStimuliFullRes/7_sit_make fire/1/coh_1.jpg,coh_1,JpegStimuliFullRes/7_sit_make fire/1/coh_2.jpg,coh_2,JpegStimuliFullRes/7_sit_make fire/1/it_target.jpg,it_target,JpegStimuliFullRes/7_sit_make fire/1/end_coh_it.jpg,end_coh_it,BetweenTrials/nepal_2025_059_img_6779.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\7_sit_make fire
d007_set1_tr_ic_list1,50,1,7,007_sit_make_fire,sit_make_fire,1,tr_ic,transitive_incohesive,incohesive,transitive,2,25,3,JpegStimuliFullRes/7_sit_make fire/1/ic_1.jpg,ic_1,JpegStimuliFullRes/7_sit_make fire/1/tr_target.jpg,tr_target,JpegStimuliFullRes/7_sit_make fire/1/end_ic_tr.jpg,end_ic_tr,,,BetweenTrials/nepal_2025_060_img_6905.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\7_sit_make fire
