trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
d011_set1_tr_coh_list2,81,2,11,011_ascend_wipe_plate,ascend_wipe_plate,1,tr_coh,transitive_cohesive,cohesive,transitive,1,41,3,JpegStimuliFullRes/11_ascend_wipe plate/1/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/1/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/1/tr_target.jpg,tr_target,,,BetweenTrials/nepal_2025_091_img_6885.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\11_ascend_wipe plate
d011_set1_it_ic_list2,82,2,11,011_ascend_wipe_plate,ascend_wipe_plate,1,it_ic,intransitive_incohesive,incohesive,intransitive,4,41,3,JpegStimuliFullRes/11_ascend_wipe plate/1/ic_1.jpg,ic_1,JpegStimuliFullRes/11_ascend_wipe plate/1/it_target.jpg,it_target,JpegStimuliFullRes/11_ascend_wipe plate/1/end_ic_it.jpg,end_ic_it,,,BetweenTrials/nepal_2025_092_img_7034.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\11_ascend_wipe plate
d011_set2_it_coh_list2,83,2,11,011_ascend_wipe_plate,ascend_wipe_plate,2,it_coh,intransitive_cohesive,cohesive,intransitive,3,42,4,JpegStimuliFullRes/11_ascend_wipe plate/2/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/2/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/2/it_target.jpg,it_target,JpegStimuliFullRes/11_ascend_wipe plate/2/end_coh_it.jpg,end_coh_it,BetweenTrials/nepal_2025_093_img_6924.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\11_ascend_wipe plate
d011_set2_tr_ic_list2,84,2,11,011_ascend_wipe_plate,ascend_wipe_plate,2,tr_ic,transitive_incohesive,incohesive,transitive,2,42,3,JpegStimuliFullRes/11_ascend_wipe plate/2/ic_1.jpg,ic_1,JpegStimuliFullRes/11_ascend_wipe plate/2/tr_target.jpg,tr_target,JpegStimuliFullRes/11_ascend_wipe plate/2/end_ic_tr.jpg,end_ic_tr,,,BetweenTrials/nepal_2025_094_img_6757.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\11_ascend_wipe plate
d011_set3_it_coh_list2,85,2,11,011_ascend_wipe_plate,ascend_wipe_plate,3,it_coh,intransitive_cohesive,cohesive,intransitive,3,43,4,JpegStimuliFullRes/11_ascend_wipe plate/3/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/3/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/3/it_target.jpg,it_target,JpegStimuliFullRes/11_ascend_wipe plate/3/end_coh_it.jpg,end_coh_it,BetweenTrials/nepal_2025_095_img_7122.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\11_ascend_wipe plate
d011_set3_tr_ic_list2,86,2,11,011_ascend_wipe_plate,ascend_wipe_plate,3,tr_ic,transitive_incohesive,incohesive,transitive,2,43,3,JpegStimuliFullRes/11_ascend_wipe plate/3/ic_1.jpg,ic_1,JpegStimuliFullRes/11_ascend_wipe plate/3/tr_target.jpg,tr_target,JpegStimuliFullRes/11_ascend_wipe plate/3/end_ic_tr.jpg,end_ic_tr,,,BetweenTrials/nepal_2025_096_img_7134.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\11_ascend_wipe plate
d011_set4_tr_coh_list2,87,2,11,011_ascend_wipe_plate,ascend_wipe_plate,4,tr_coh,transitive_cohesive,cohesive,transitive,1,44,3,JpegStimuliFullRes/11_ascend_wipe plate/4/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/4/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/4/tr_target.jpg,tr_target,,,BetweenTrials/nepal_2025_097_img_6968.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\11_ascend_wipe plate
d011_set4_it_ic_list2,88,2,11,011_ascend_wipe_plate,ascend_wipe_plate,4,it_ic,intransitive_incohesive,incohesive,intransitive,4,44,3,JpegStimuliFullRes/11_ascend_wipe plate/4/ic_1.jpg,ic_1,JpegStimuliFullRes/11_ascend_wipe plate/4/it_target.jpg,it_target,JpegStimuliFullRes/11_ascend_wipe plate/4/end_ic_it.jpg,end_ic_it,,,BetweenTrials/nepal_2025_098_img_6939.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\11_ascend_wipe plate
d012_set1_tr_coh_list2,89,2,12,012_come_eat_rice,come_eat_rice,1,tr_coh,transitive_cohesive,cohesive,transitive,1,45,3,JpegStimuliFullRes/12_come_eat rice/1/coh_1.jpg,coh_1,JpegStimuliFullRes/12_come_eat rice/1/coh_2.jpg,coh_2,JpegStimuliFullRes/12_come_eat rice/1/tr_target.jpg,tr_target,,,BetweenTrials/nepal_2025_099_img_6808.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\12_come_eat rice
d012_set1_it_ic_list2,90,2,12,012_come_eat_rice,come_eat_rice,1,it_ic,intransitive_incohesive,incohesive,intransitive,4,45,3,JpegStimuliFullRes/12_come_eat rice/1/ic_1.jpg,ic_1,JpegStimuliFullRes/12_come_eat rice/1/it_target.jpg,it_target,JpegStimuliFullRes/12_come_eat rice/1/end_ic_it.jpg,end_ic_it,,,BetweenTrials/nepal_2025_100_img_7060.jpg,0,,0,C:\Users\Sofya\Documents\Discourse part\gurung-stimuli\psychopy_gurung_v1\JpegStimuliFullRes\12_come_eat rice
