trial_id,source_trial_id,dataset_number,dataset_slug,dataset_label,condition_id,condition_name,cohesion,transitivity,target_image,target_role
isolated_d022_set1_tr_ic,d022_set1_tr_ic,22,022_come_push_chest,come_push_chest,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/022_come_push_chest/tr_target.png,tr_target
isolated_d013_set1_it_ic,d013_set1_it_ic,13,013_stand_wash_clothes,stand_wash_clothes,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/013_stand_wash_clothes/it_target.png,it_target
isolated_d009_set1_it_coh,d009_set1_it_coh,9,009_descend_harvest_rice,descend_harvest_rice,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/009_descend_harvest_rice/it_target.png,it_target
isolated_d003_set1_tr_ic,d003_set1_tr_ic,3,003_rest_cook_fish,rest_cook_fish,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/003_rest_cook_fish/tr_target.png,tr_target
isolated_d004_set1_it_coh,d004_set1_it_coh,4,004_run_drink_tea,run_drink_tea,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/004_run_drink_tea/it_target.png,it_target
isolated_d025_set1_tr_coh,d025_set1_tr_coh,25,025_yawn_lock_door,yawn_lock_door,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/025_yawn_lock_door/tr_target.png,tr_target
isolated_d011_set1_it_coh,d011_set1_it_coh,11,011_ascend_wipe_plate,ascend_wipe_plate,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/011_ascend_wipe_plate/it_target.png,it_target
isolated_d030_set1_tr_ic,d030_set1_tr_ic,30,030_smile_make_momos,smile_make_momos,tr_ic,transitive_incohesive,incohesive,transitive,MainStimuli/030_smile_make_momos/tr_target.png,tr_target
isolated_d023_set1_tr_coh,d023_set1_tr_coh,23,023_stand_tear_paper,stand_tear_paper,tr_coh,transitive_cohesive,cohesive,transitive,MainStimuli/023_stand_tear_paper/tr_target.png,tr_target
isolated_d021_set1_it_coh,d021_set1_it_coh,21,021_cough_burn_bottles,cough_burn_bottles,it_coh,intransitive_cohesive,cohesive,intransitive,MainStimuli/021_cough_burn_bottles/it_target.png,it_target
isolated_d030_set1_it_ic,d030_set1_it_ic,30,030_smile_make_momos,smile_make_momos,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/030_smile_make_momos/it_target.png,it_target
isolated_d028_set1_it_ic,d028_set1_it_ic,28,028_jump_peel_orange,jump_peel_orange,it_ic,intransitive_incohesive,incohesive,intransitive,MainStimuli/028_jump_peel_orange/it_target.png,it_target
