trial_id,practice_index,target_image,target_role,practice_audio,source_n_images
isolated_practice_01_orange_and_man,1,Stimuli/isolated_practice_01_orange_and_man.jpg,orange_and_man,Audio/new_isol_man_orange.wav,1
isolated_practice_02_woman_milking_goat,2,Stimuli/isolated_practice_02_woman_milking_goat.jpg,woman_milking_goat,Audio/new_isol_milk_goat.wav,1
