original_trial_index,recovery_source,trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
47,participant_261_csv_screenshots_2026-08-26,d007_set4_it_coh_list1,55,1,7,007_sit_make_fire,sit_make_fire,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,28,4,JpegStimuliFullRes/7_sit_make fire/4/coh_1.jpg,coh_1,JpegStimuliFullRes/7_sit_make fire/4/coh_2.jpg,coh_2,JpegStimuliFullRes/7_sit_make fire/4/it_target.jpg,it_target,JpegStimuliFullRes/7_sit_make fire/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/7_sit_make fire
48,participant_261_csv_screenshots_2026-08-26,d003_set4_tr_ic_list1,24,1,3,003_rest_cook_fish,rest_cook_fish,4,tr_ic,transitive_incohesive,incohesive,transitive,2,12,3,JpegStimuliFullRes/3_rest_cook fish/4/ic_1.jpg,ic_1,JpegStimuliFullRes/3_rest_cook fish/4/tr_target.jpg,tr_target,JpegStimuliFullRes/3_rest_cook fish/4/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/3_rest_cook fish
49,participant_261_csv_screenshots_2026-08-26,d022_set4_it_coh_list1,175,1,22,022_come_push_chest,come_push_chest,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,88,4,JpegStimuliFullRes/22_come_push chest/4/coh_1.jpg,coh_1,JpegStimuliFullRes/22_come_push chest/4/coh_2.jpg,coh_2,JpegStimuliFullRes/22_come_push chest/4/it_target.jpg,it_target,JpegStimuliFullRes/22_come_push chest/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/22_come_push chest
50,participant_261_csv_screenshots_2026-08-26,d003_set1_it_coh_list1,17,1,3,003_rest_cook_fish,rest_cook_fish,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,9,4,JpegStimuliFullRes/3_rest_cook fish/1/coh_1.jpg,coh_1,JpegStimuliFullRes/3_rest_cook fish/1/coh_2.jpg,coh_2,JpegStimuliFullRes/3_rest_cook fish/1/it_target.jpg,it_target,JpegStimuliFullRes/3_rest_cook fish/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/3_rest_cook fish
51,participant_261_csv_screenshots_2026-08-26,d015_set1_tr_ic_list1,114,1,15,015_smile_clean_wall,smile_clean_wall,1,tr_ic,transitive_incohesive,incohesive,transitive,2,57,3,JpegStimuliFullRes/15_smile_clean wall/1/ic_1.jpg,ic_1,JpegStimuliFullRes/15_smile_clean wall/1/tr_target.jpg,tr_target,JpegStimuliFullRes/15_smile_clean wall/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/15_smile_clean wall
52,participant_261_csv_screenshots_2026-08-26,d018_set2_it_ic_list1,140,1,18,018_yawn_put_on_cap,yawn_put_on_cap,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,70,3,JpegStimuliFullRes/18_yawn_put on cap/2/ic_1.jpg,ic_1,JpegStimuliFullRes/18_yawn_put on cap/2/it_target.jpg,it_target,JpegStimuliFullRes/18_yawn_put on cap/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/18_yawn_put on cap
53,participant_261_csv_screenshots_2026-08-26,d004_set1_tr_ic_list1,26,1,4,004_run_drink_tea,run_drink_tea,1,tr_ic,transitive_incohesive,incohesive,transitive,2,13,3,JpegStimuliFullRes/4_run_drink tea/1/ic_1.jpg,ic_1,JpegStimuliFullRes/4_run_drink tea/1/tr_target.jpg,tr_target,JpegStimuliFullRes/4_run_drink tea/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/4_run_drink tea
54,participant_261_csv_screenshots_2026-08-26,d030_set2_it_ic_list1,236,1,30,030_smile_make_momos,smile_make_momos,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,118,3,JpegStimuliFullRes/30_smile_make momos/2/ic_1.jpg,ic_1,JpegStimuliFullRes/30_smile_make momos/2/it_target.jpg,it_target,JpegStimuliFullRes/30_smile_make momos/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/30_smile_make momos
55,participant_261_csv_screenshots_2026-08-26,d026_set4_it_coh_list1,207,1,26,026_sleep_drag_log,sleep_drag_log,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,104,4,JpegStimuliFullRes/26_sleep_drag log/4/coh_1.jpg,coh_1,JpegStimuliFullRes/26_sleep_drag log/4/coh_2.jpg,coh_2,JpegStimuliFullRes/26_sleep_drag log/4/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/26_sleep_drag log
56,participant_261_csv_screenshots_2026-08-26,d011_set3_tr_coh_list1,85,1,11,011_ascend_wipe_plate,ascend_wipe_plate,3,tr_coh,transitive_cohesive,cohesive,transitive,1,43,3,JpegStimuliFullRes/11_ascend_wipe plate/3/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/3/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/3/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
57,participant_261_csv_screenshots_2026-08-26,d029_set3_tr_coh_list1,229,1,29,029_sit_cut_potato,sit_cut_potato,3,tr_coh,transitive_cohesive,cohesive,transitive,1,115,3,JpegStimuliFullRes/29_sit_cut potato/3/coh_1.jpg,coh_1,JpegStimuliFullRes/29_sit_cut potato/3/coh_2.jpg,coh_2,JpegStimuliFullRes/29_sit_cut potato/3/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/29_sit_cut potato
58,participant_261_csv_screenshots_2026-08-26,d029_set2_tr_coh_list1,227,1,29,029_sit_cut_potato,sit_cut_potato,2,tr_coh,transitive_cohesive,cohesive,transitive,1,114,3,JpegStimuliFullRes/29_sit_cut potato/2/coh_1.jpg,coh_1,JpegStimuliFullRes/29_sit_cut potato/2/coh_2.jpg,coh_2,JpegStimuliFullRes/29_sit_cut potato/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/29_sit_cut potato
59,participant_261_csv_screenshots_2026-08-26,d013_set3_tr_coh_list1,101,1,13,013_stand_wash_clothes,stand_wash_clothes,3,tr_coh,transitive_cohesive,cohesive,transitive,1,51,3,JpegStimuliFullRes/13_stand_wash clothes/3/coh_1.jpg,coh_1,JpegStimuliFullRes/13_stand_wash clothes/3/coh_2.jpg,coh_2,JpegStimuliFullRes/13_stand_wash clothes/3/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/13_stand_wash clothes
60,participant_261_csv_screenshots_2026-08-26,d022_set4_tr_ic_list1,176,1,22,022_come_push_chest,come_push_chest,4,tr_ic,transitive_incohesive,incohesive,transitive,2,88,3,JpegStimuliFullRes/22_come_push chest/4/ic_1.jpg,ic_1,JpegStimuliFullRes/22_come_push chest/4/tr_target.jpg,tr_target,JpegStimuliFullRes/22_come_push chest/4/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/22_come_push chest
61,participant_261_csv_screenshots_2026-08-26,d018_set1_it_coh_list1,137,1,18,018_yawn_put_on_cap,yawn_put_on_cap,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,69,4,JpegStimuliFullRes/18_yawn_put on cap/1/coh_1.jpg,coh_1,JpegStimuliFullRes/18_yawn_put on cap/1/coh_2.jpg,coh_2,JpegStimuliFullRes/18_yawn_put on cap/1/it_target.jpg,it_target,JpegStimuliFullRes/18_yawn_put on cap/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/18_yawn_put on cap
62,participant_261_csv_screenshots_2026-08-26,d028_set4_it_coh_list1,223,1,28,028_jump_peel_orange,jump_peel_orange,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,112,4,JpegStimuliFullRes/28_jump_peel orange/4/coh_1.jpg,coh_1,JpegStimuliFullRes/28_jump_peel orange/4/coh_2.jpg,coh_2,JpegStimuliFullRes/28_jump_peel orange/4/it_target.jpg,it_target,JpegStimuliFullRes/28_jump_peel orange/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/28_jump_peel orange
63,participant_261_csv_screenshots_2026-08-26,d010_set1_it_coh_list1,73,1,10,010_run_cook_pancakes,run_cook_pancakes,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,37,4,JpegStimuliFullRes/10_run_cook pancakes/1/coh_1.jpg,coh_1,JpegStimuliFullRes/10_run_cook pancakes/1/coh_2.jpg,coh_2,JpegStimuliFullRes/10_run_cook pancakes/1/it_target.jpg,it_target,JpegStimuliFullRes/10_run_cook pancakes/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/10_run_cook pancakes
64,participant_261_csv_screenshots_2026-08-26,d015_set3_it_ic_list1,118,1,15,015_smile_clean_wall,smile_clean_wall,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,59,3,JpegStimuliFullRes/15_smile_clean wall/3/ic_1.jpg,ic_1,JpegStimuliFullRes/15_smile_clean wall/3/it_target.jpg,it_target,JpegStimuliFullRes/15_smile_clean wall/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/15_smile_clean wall
65,participant_261_csv_screenshots_2026-08-26,d008_set4_it_coh_list1,63,1,8,008_smile_weave_garland,smile_weave_garland,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,32,4,JpegStimuliFullRes/8_smile_weave garland/4/coh_1.jpg,coh_1,JpegStimuliFullRes/8_smile_weave garland/4/coh_2.jpg,coh_2,JpegStimuliFullRes/8_smile_weave garland/4/it_target.jpg,it_target,JpegStimuliFullRes/8_smile_weave garland/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/8_smile_weave garland
66,participant_261_csv_screenshots_2026-08-26,d016_set1_tr_ic_list1,122,1,16,016_sleep_wash_dish,sleep_wash_dish,1,tr_ic,transitive_incohesive,incohesive,transitive,2,61,3,JpegStimuliFullRes/16_sleep_wash dish/1/ic_1.jpg,ic_1,JpegStimuliFullRes/16_sleep_wash dish/1/tr_target.jpg,tr_target,JpegStimuliFullRes/16_sleep_wash dish/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/16_sleep_wash dish
67,participant_261_csv_screenshots_2026-08-26,d011_set2_tr_coh_list1,83,1,11,011_ascend_wipe_plate,ascend_wipe_plate,2,tr_coh,transitive_cohesive,cohesive,transitive,1,42,3,JpegStimuliFullRes/11_ascend_wipe plate/2/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/2/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
68,participant_261_csv_screenshots_2026-08-26,d029_set1_it_coh_list1,225,1,29,029_sit_cut_potato,sit_cut_potato,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,113,4,JpegStimuliFullRes/29_sit_cut potato/1/coh_1.jpg,coh_1,JpegStimuliFullRes/29_sit_cut potato/1/coh_2.jpg,coh_2,JpegStimuliFullRes/29_sit_cut potato/1/it_target.jpg,it_target,JpegStimuliFullRes/29_sit_cut potato/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/29_sit_cut potato
69,participant_261_csv_screenshots_2026-08-26,d023_set4_it_coh_list1,183,1,23,023_stand_tear_paper,stand_tear_paper,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,92,4,JpegStimuliFullRes/23_stand_tear paper/4/coh_1.jpg,coh_1,JpegStimuliFullRes/23_stand_tear paper/4/coh_2.jpg,coh_2,JpegStimuliFullRes/23_stand_tear paper/4/it_target.jpg,it_target,JpegStimuliFullRes/23_stand_tear paper/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/23_stand_tear paper
70,participant_261_csv_screenshots_2026-08-26,d025_set2_it_ic_list1,196,1,25,025_yawn_lock_door,yawn_lock_door,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,98,3,JpegStimuliFullRes/25_yawn_lock door/2/ic_1.jpg,ic_1,JpegStimuliFullRes/25_yawn_lock door/2/it_target.jpg,it_target,JpegStimuliFullRes/25_yawn_lock door/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/25_yawn_lock door
71,participant_261_csv_screenshots_2026-08-26,d014_set2_tr_coh_list1,107,1,14,014_ascend_weave_raincoat,ascend_weave_raincoat,2,tr_coh,transitive_cohesive,cohesive,transitive,1,54,3,JpegStimuliFullRes/14_ascend_weave raincoat/2/coh_1.jpg,coh_1,JpegStimuliFullRes/14_ascend_weave raincoat/2/coh_2.jpg,coh_2,JpegStimuliFullRes/14_ascend_weave raincoat/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/14_ascend_weave raincoat
72,participant_261_csv_screenshots_2026-08-26,d005_set1_tr_ic_list1,34,1,5,005_rest_build_wall,rest_build_wall,1,tr_ic,transitive_incohesive,incohesive,transitive,2,17,3,JpegStimuliFullRes/5_rest_build wall/1/ic_1.jpg,ic_1,JpegStimuliFullRes/5_rest_build wall/1/tr_target.jpg,tr_target,JpegStimuliFullRes/5_rest_build wall/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/5_rest_build wall
73,participant_261_csv_screenshots_2026-08-26,d021_set1_tr_ic_list1,162,1,21,021_cough_burn_bottles,cough_burn_bottles,1,tr_ic,transitive_incohesive,incohesive,transitive,2,81,3,JpegStimuliFullRes/21_cough_burn bottles/1/ic_1.jpg,ic_1,JpegStimuliFullRes/21_cough_burn bottles/1/tr_target.jpg,tr_target,JpegStimuliFullRes/21_cough_burn bottles/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
74,participant_261_csv_screenshots_2026-08-26,d021_set2_it_ic_list1,164,1,21,021_cough_burn_bottles,cough_burn_bottles,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,82,3,JpegStimuliFullRes/21_cough_burn bottles/2/ic_1.jpg,ic_1,JpegStimuliFullRes/21_cough_burn bottles/2/it_target.jpg,it_target,JpegStimuliFullRes/21_cough_burn bottles/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
75,participant_261_csv_screenshots_2026-08-26,d020_set2_tr_coh_list1,155,1,20,020_come_plant_sapling,come_plant_sapling,2,tr_coh,transitive_cohesive,cohesive,transitive,1,78,3,JpegStimuliFullRes/20_come_plant sapling/2/coh_1.jpg,coh_1,JpegStimuliFullRes/20_come_plant sapling/2/coh_2.jpg,coh_2,JpegStimuliFullRes/20_come_plant sapling/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/20_come_plant sapling
76,participant_261_csv_screenshots_2026-08-26,d026_set3_it_ic_list1,206,1,26,026_sleep_drag_log,sleep_drag_log,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,103,3,JpegStimuliFullRes/26_sleep_drag log/3/ic_1.jpg,ic_1,JpegStimuliFullRes/26_sleep_drag log/3/it_target.jpg,it_target,JpegStimuliFullRes/26_sleep_drag log/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/26_sleep_drag log
77,participant_261_csv_screenshots_2026-08-26,d009_set2_tr_coh_list1,67,1,9,009_descend_harvest_rice,descend_harvest_rice,2,tr_coh,transitive_cohesive,cohesive,transitive,1,34,3,JpegStimuliFullRes/9_descend_harvest rice/2/coh_1.jpg,coh_1,JpegStimuliFullRes/9_descend_harvest rice/2/coh_2.jpg,coh_2,JpegStimuliFullRes/9_descend_harvest rice/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/9_descend_harvest rice
78,participant_261_csv_screenshots_2026-08-26,d008_set2_it_ic_list1,60,1,8,008_smile_weave_garland,smile_weave_garland,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,30,3,JpegStimuliFullRes/8_smile_weave garland/2/ic_1.jpg,ic_1,JpegStimuliFullRes/8_smile_weave garland/2/it_target.jpg,it_target,JpegStimuliFullRes/8_smile_weave garland/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/8_smile_weave garland
79,participant_261_csv_screenshots_2026-08-26,d024_set2_tr_coh_list1,187,1,24,024_descend_paint_bench,descend_paint_bench,2,tr_coh,transitive_cohesive,cohesive,transitive,1,94,3,JpegStimuliFullRes/24_descend_paint bench/2/coh_1.jpg,coh_1,JpegStimuliFullRes/24_descend_paint bench/2/coh_2.jpg,coh_2,JpegStimuliFullRes/24_descend_paint bench/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/24_descend_paint bench
80,participant_261_csv_screenshots_2026-08-26,d001_set3_tr_coh_list1,5,1,1,001_cough_throw_bones,cough_throw_bones,3,tr_coh,transitive_cohesive,cohesive,transitive,1,3,3,JpegStimuliFullRes/1_cough_throw bones/3/coh_1.jpg,coh_1,JpegStimuliFullRes/1_cough_throw bones/3/coh_2.jpg,coh_2,JpegStimuliFullRes/1_cough_throw bones/3/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/1_cough_throw bones
