trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
d021_set1_it_coh_list1,161,1,21,021_cough_burn_bottles,cough_burn_bottles,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,81,4,JpegStimuliFullRes/21_cough_burn bottles/1/coh_1.jpg,coh_1,JpegStimuliFullRes/21_cough_burn bottles/1/coh_2.jpg,coh_2,JpegStimuliFullRes/21_cough_burn bottles/1/it_target.jpg,it_target,JpegStimuliFullRes/21_cough_burn bottles/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
d021_set1_tr_ic_list1,162,1,21,021_cough_burn_bottles,cough_burn_bottles,1,tr_ic,transitive_incohesive,incohesive,transitive,2,81,3,JpegStimuliFullRes/21_cough_burn bottles/1/ic_1.jpg,ic_1,JpegStimuliFullRes/21_cough_burn bottles/1/tr_target.jpg,tr_target,JpegStimuliFullRes/21_cough_burn bottles/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
d021_set2_tr_coh_list1,163,1,21,021_cough_burn_bottles,cough_burn_bottles,2,tr_coh,transitive_cohesive,cohesive,transitive,1,82,3,JpegStimuliFullRes/21_cough_burn bottles/2/coh_1.jpg,coh_1,JpegStimuliFullRes/21_cough_burn bottles/2/coh_2.jpg,coh_2,JpegStimuliFullRes/21_cough_burn bottles/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
d021_set2_it_ic_list1,164,1,21,021_cough_burn_bottles,cough_burn_bottles,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,82,3,JpegStimuliFullRes/21_cough_burn bottles/2/ic_1.jpg,ic_1,JpegStimuliFullRes/21_cough_burn bottles/2/it_target.jpg,it_target,JpegStimuliFullRes/21_cough_burn bottles/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
d021_set3_tr_coh_list1,165,1,21,021_cough_burn_bottles,cough_burn_bottles,3,tr_coh,transitive_cohesive,cohesive,transitive,1,83,3,JpegStimuliFullRes/21_cough_burn bottles/3/coh_1.jpg,coh_1,JpegStimuliFullRes/21_cough_burn bottles/3/coh_2.jpg,coh_2,JpegStimuliFullRes/21_cough_burn bottles/3/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
d021_set3_it_ic_list1,166,1,21,021_cough_burn_bottles,cough_burn_bottles,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,83,3,JpegStimuliFullRes/21_cough_burn bottles/3/ic_1.jpg,ic_1,JpegStimuliFullRes/21_cough_burn bottles/3/it_target.jpg,it_target,JpegStimuliFullRes/21_cough_burn bottles/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
d021_set4_it_coh_list1,167,1,21,021_cough_burn_bottles,cough_burn_bottles,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,84,4,JpegStimuliFullRes/21_cough_burn bottles/4/coh_1.jpg,coh_1,JpegStimuliFullRes/21_cough_burn bottles/4/coh_2.jpg,coh_2,JpegStimuliFullRes/21_cough_burn bottles/4/it_target.jpg,it_target,JpegStimuliFullRes/21_cough_burn bottles/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
d021_set4_tr_ic_list1,168,1,21,021_cough_burn_bottles,cough_burn_bottles,4,tr_ic,transitive_incohesive,incohesive,transitive,2,84,3,JpegStimuliFullRes/21_cough_burn bottles/4/ic_1.jpg,ic_1,JpegStimuliFullRes/21_cough_burn bottles/4/tr_target.jpg,tr_target,JpegStimuliFullRes/21_cough_burn bottles/4/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/21_cough_burn bottles
d022_set1_it_coh_list1,169,1,22,022_come_push_chest,come_push_chest,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,85,4,JpegStimuliFullRes/22_come_push chest/1/coh_1.jpg,coh_1,JpegStimuliFullRes/22_come_push chest/1/coh_2.jpg,coh_2,JpegStimuliFullRes/22_come_push chest/1/it_target.jpg,it_target,JpegStimuliFullRes/22_come_push chest/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/22_come_push chest
d022_set1_tr_ic_list1,170,1,22,022_come_push_chest,come_push_chest,1,tr_ic,transitive_incohesive,incohesive,transitive,2,85,3,JpegStimuliFullRes/22_come_push chest/1/ic_1.jpg,ic_1,JpegStimuliFullRes/22_come_push chest/1/tr_target.jpg,tr_target,JpegStimuliFullRes/22_come_push chest/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/22_come_push chest
